"","ko15","ko16","ko18","ko19","ko21","ko22","wt15","wt16","wt18","wt19","wt21","wt22"
"S1",42708.14075,38301.3086989118,62429.4150000002,96000.2061538464,38549.593448719,72848.399030068,42426.0039000009,17839.5273662257,49741.9599999993,99627.086222221,11637.9248643689,55258.5850000019
"S2",9186323.42755545,15385777.92,11478035.52,7918950.08000005,7514303.67999995,25442440.4795296,8524516.23665087,12256862.5005716,41646091.1221623,22769167.2159998,12875120.5352727,5538046.71999993
"S3",1591607.62200001,1039410.40000001,1131453.43078231,1038709.28,234525.626324721,608189.11600525,3881899.99193024,1262367.54789594,1422682.82400001,992948.679999993,394199.732638573,154543.702375717
"S4",15316581.6035559,10722128,7102245.43999995,6824000.95999995,2976979.28716343,3789205.06470467,10083426.8009217,7774931.00750226,10170594.5964512,4685797.10941575,2902527.37022284,2466654.06327146
"S5",75256.1549999993,37395.7903728895,56662.3900000003,45769.9899999992,29995.7724063757,26323.1259825984,41301.9149999999,32147.8667061166,45602.5349999994,68221.4799999999,8313.91657921834,38628.556386501
"S6",3284718.2541081,3291032.38064105,2889752.60725714,800783.339571416,526099.790000001,1395203.00340002,3322906.84845,3932157.44151281,1508679.82133333,1883523.63806897,558934.494222216,1554520.73344443
"S7",1105390.02971429,472206.44805,764436.6686237,222883.994666671,544355.492675678,528935.57277778,1144580.44479999,1101939.19815,254018.279999998,563309.598264709,515949.153028627,462527.544702416
"S8",48324144.8519998,44907228.9010529,38129952.9476571,24566921.4246666,24921665.1604445,21821538.1609143,50965240.320842,53262282.5877897,38461990.2028108,25434216.1316571,26140855.5638858,20137462.746353
"S9",13787716.820027,12413108.9897028,10942060.4217778,6795569.17439999,7044645.04442859,2140319.90400005,14474090.1912564,15057317.9443159,10747816.0695555,7323145.10141666,7503528.54360002,5878473.04800001
"S10",2309897.94836364,1677126.94304001,1954824.9028,1420245.15608333,1429363.99942424,1346006.87821621,3641315.97795122,1997674.00737501,2117929.82981819,634080.45866668,1600168.18435136,1261980.87459999
"S11",204543.844349982,127488.094543182,153539.150818095,101485.084289052,72731.5621638062,69689.7595552657,129571.044999999,210720.163157894,99934.1652779342,116015.572307693,109080.82067229,57944.0878798609
"S12",42881.8682873146,88615.3341538464,41311.3050000014,38368.4551864546,40095.5831111119,47006.3399999999,2120.42462102422,0,11778.4970509988,10243.4410242286,2888.5113429985,6788.54226587997
"S13",11275649.7200001,5131341.17876479,2443867.17226957,3293181.6048164,8335183.78852167,5624245.56799999,36141998.6104241,1961755.73508537,3310947.29081456,4292344.93764968,7706061.53527275,7808922.86763638
"S14",7094582.14283288,2660647.62285182,783086.955042845,998491.414750458,2340526.64399998,1560252.52631579,9219730.43514285,1145123.60905407,1011776.72951986,1255590.88323211,2221906.24133333,2241262.79723076
"S15",1081778.84868932,93781.8979450632,184078.264369487,213777.93070838,198805.079999999,401591.642831748,1837432.27365517,79476.3391290022,258023.42925241,228347.285108295,628464.047400001,357991.803076924
"S16",116865.777699594,135331.810000001,185802.358318182,61142.9850000004,44676.054999999,68908.4997857146,90516.0317142872,165598.909999998,61346.1611666675,48496.2199999997,41284.6999999997,43578.9900000001
"S17",159756.591067203,74678.6699999983,116725.824000002,184659.003466664,45662.3565503105,74706.0622882703,72573.7449999999,215239.145,80719.3623713256,93918.7799999994,60290.0599999999,58022.3749999996
"S18",379052.708000005,474758.399999997,216358.120000008,32035.6235549322,178701.089999995,137026.704999998,368609.348191959,692593.880000002,1126070.20003334,144180.319999997,366003.478133336,221093.810000001
"S19",52820.9491666674,130048.370000001,142251.253812501,32489.4026229473,17921.5589509615,13970.3699915271,72934.8617142869,78719.4999999999,15321.4882931069,23179.2149999995,26653.3771491677,14563.4542700221
"S20",256273.870422995,379259.92692,163210.720000001,57499.4807317424,83873.0450000009,90729.5558778969,233264.844434656,547948.08227586,129679.711428574,96573.5057559564,100605.632194157,37896.4749999997
"S21",81031.0049999999,105853.470000004,75672.116612252,41910.7000000015,61894.1849999999,66390.8825000014,36383.1648000003,218909.069999999,0,7208.28492763146,85046.7949999988,38189.1299999997
"S22",30267.1000000011,32195.1799999993,38673.2139028789,33100.2974506336,33140.4399999996,15183.1969873217,34597.4549999995,113696.905090909,30600.4449999998,13756.5973795198,28617.5899999996,32938.5549999998
"S23",194348.565656462,247542.309999999,164688.084998204,103718.53487811,126769.694999999,163163.513625001,143794.04643109,468625.165000005,180322.716367161,98702.1769213187,200164.596992534,122755.335314426
"S24",24773.9499999997,48558.8199999999,31833.6650000011,5216.9016584443,5696.47832345101,17230.0049768041,9871.49436108879,124148.32,7957.35270925668,17661.8856889523,0,0
"S25",207974.821528306,229288.181164126,181254.908,117587.175648797,518084.469656247,174547.6165016,215648.72207143,291715.745846155,223637.986134394,56915.9199999979,177401.846672234,180670.253511649
"S26",23216464.135111,6967291.95473592,1008257.8106355,1339456.27796888,3298220.08533334,1274220.85344977,13865211.744,6677850.14076204,1044075.27785768,1231768.86459533,906372.879999988,2362348.48266667
"S27",2491296.63730769,926917.7112165,412259.680498048,70548.6572615309,57878.3949999992,76369.6333222515,720700.188444459,1999723.37587879,259871.380000004,101901.783135751,237931.053688279,147280.861964384
"S28",47308.7611428579,78406.4999999997,21935.7128186797,19155.8962186228,21043.4304000002,16571.9469216598,40951.3549999999,4130.17393106247,62737.28055,24792.5278175929,31249.9199999996,114808.4
"S29",48882.2636666673,37487.6770483648,55498.0299999987,62329.2549999992,0,25549.3260330044,40169.9043900851,36401.7874287346,45795.0786706406,64850.4699999996,53352.0848020003,22418.2268268316
"S30",20736187.6296972,24361047.4206317,22068719.0266668,19638474.448,11713979.9270131,13006809.175491,18690013.3587292,24660681.1271352,21586358.1776842,18957592.576,12950057.8375843,62139.8899999992
